Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
62,Hayden Hurst,ATL,TE,27,6,3,0,0,0,0,0,0,0,,0,32,19,227,11.95,3,0,0,3,,,41,59.7,62.7,50.2,2,8,62
63,Ryan Tannehill,TEN,QB,32,5,5,121,173,1368,13,2,15,77,5.13,1,1,1,0,0,0,3,1,1,,1,116,117.4,123.4,118.9,2,9,63
64,DeVante Parker,MIA,WR,27,6,6,0,0,0,0,0,0,0,,0,40,29,364,12.55,2,0,0,2,,,48,77.4,80.4,62.9,2,26,64
65,Mike Gesicki,MIA,TE,25,6,4,0,0,0,0,0,0,0,,0,30,18,281,15.61,2,0,0,2,,,40,58.1,61.1,49.1,2,9,65
66,Cole Beasley,BUF,WR,31,6,3,0,0,0,0,0,0,0,,0,37,28,358,12.79,2,0,0,2,,,48,75.8,78.8,61.8,1,27,66
67,T.J. Hockenson,DET,TE,23,5,5,0,0,0,0,0,0,0,,0,25,17,197,11.59,3,0,0,3,1,,40,56.7,59.7,48.2,1,10,67
68,Darren Waller,LVR,TE,28,5,4,0,0,0,0,0,0,0,,0,46,34,295,8.68,2,1,1,2,,,40,73.5,77.5,56.5,1,11,68
69,Myles Gaskin,MIA,RB,23,6,4,0,0,0,0,0,82,340,4.15,1,29,27,182,6.74,0,0,0,1,,,58,85.2,91.2,71.7,1,22,69
70,Tee Higgins,CIN,WR,21,6,4,0,0,0,0,0,2,15,7.5,0,38,22,339,15.41,2,0,0,2,,,47,69.4,72.4,58.4,1,28,70
71,Carson Wentz,PHI,QB,28,6,6,138,235,1401,8,9,28,171,6.11,4,0,0,0,,0,5,2,4,,4,115,115.1,132.1,124.1,1,10,71
72,Julio Jones,ATL,WR,31,4,4,0,0,0,0,0,0,0,,0,30,23,350,15.22,2,0,0,2,,,47,70,73,58.5,1,29,72
73,Matt Ryan,ATL,QB,35,6,6,159,244,1843,11,3,13,31,2.38,0,0,0,0,,0,1,0,0,,,115,114.8,120.8,117.8,1,11,73
74,Raheem Mostert,SFO,RB,28,4,4,0,0,0,0,0,51,303,5.94,1,12,11,150,13.64,1,0,0,2,,,57,68.3,74.3,62.8,,23,74
75,Darren Fells,HOU,TE,34,6,6,0,0,0,0,0,0,0,,0,19,14,205,14.64,3,0,0,3,,,39,52.5,55.5,45.5,,12,75
76,Derek Watt,PIT,,28,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,1,76
77,Nick Chubb,CLE,RB,25,4,4,0,0,0,0,0,57,335,5.88,4,3,3,17,5.67,0,1,1,4,,,57,60.2,64.2,58.7,,24,77
78,Tom Brady,TAM,QB,43,6,6,143,223,1541,14,4,15,6,0.4,1,0,0,0,,0,4,1,1,,,114,114.2,122.2,118.2,,12,78
79,Jared Goff,LAR,QB,26,6,6,128,190,1570,10,4,20,39,1.95,2,0,0,0,,0,1,0,2,,1,113,112.7,119.7,116.7,,13,
80,Gardner Minshew II,JAX,QB,24,6,6,162,240,1682,11,5,21,101,4.81,1,1,1,0,0,0,4,3,1,,,111,112.4,126.4,116.9,,14,
81,Aaron Rodgers,GNB,QB,37,5,5,114,174,1374,13,2,8,45,5.63,0,1,1,-6,-6,0,0,0,0,,,107,107.9,112.9,109.4,,15,
82,Teddy Bridgewater,CAR,QB,28,6,6,146,206,1676,6,5,23,121,5.26,1,0,0,0,,0,1,1,1,,1,99,99.1,111.1,104.1,,16,
83,Joe Burrow,CIN,QB,24,6,6,160,246,1617,6,4,26,87,3.35,2,0,0,0,,0,5,2,2,,,97,97.4,106.4,101.4,,17,
84,Derek Carr,LVR,QB,29,5,5,128,175,1442,11,1,13,34,2.62,0,0,0,0,,0,5,4,0,,,95,95.1,103.1,96.1,,18,
85,Kirk Cousins,MIN,QB,32,6,6,113,175,1475,11,10,11,55,5,0,0,0,0,,0,2,1,0,,3,93,92.5,106.5,102.5,,19,
86,Ben Roethlisberger,PIT,QB,38,5,5,114,165,1178,11,1,16,7,0.44,0,0,0,0,,0,2,0,0,,1,92,91.8,95.8,92.8,,20,
87,Drew Brees,NOR,QB,41,5,5,125,176,1331,9,3,6,-2,-0.33,1,0,0,0,,0,1,0,1,,,89,89,95,92,,21,
88,Cam Newton,NWE,QB,31,4,4,79,116,871,2,4,45,225,5,5,1,1,16,16,0,2,0,5,,,89,89.9,99.9,93.4,,22,
89,Justin Herbert,LAC,QB,22,4,4,97,141,1195,9,3,16,55,3.44,1,0,0,0,,0,3,1,1,,,87,87.3,94.3,90.3,,23,
90,Matthew Stafford,DET,QB,32,5,5,102,168,1240,9,4,15,59,3.93,0,0,0,0,,0,0,0,0,,1,86,85.5,92.5,89.5,,24,
91,Philip Rivers,IND,QB,39,6,6,138,198,1598,7,6,10,0,0,0,0,0,0,,0,1,0,0,,,80,79.9,88.9,85.9,,25,
92,Baker Mayfield,CLE,QB,25,6,6,103,170,1095,10,6,12,37,3.08,0,0,0,0,,0,1,0,0,,,76,75.5,84.5,81.5,,26,
93,Daniel Jones,NYG,QB,23,6,6,123,201,1223,3,6,27,204,7.56,0,0,0,0,,0,4,3,0,,1,65,65.3,80.3,71.3,,27,
94,Nick Foles,CHI,QB,31,4,3,95,152,878,6,4,11,-1,-0.09,1,0,0,0,,0,1,0,1,,,57,57,64,61,,28,
95,Jerick McKinnon,SFO,RB,28,6,2,0,0,0,0,0,41,211,5.15,3,25,17,117,6.88,1,0,0,4,,,57,73.8,79.8,65.3,,25,
96,Jimmy Garoppolo,SFO,QB,29,4,4,63,99,735,7,2,5,17,3.4,0,0,0,0,,0,1,0,0,,,55,55.1,60.1,57.1,,29,
97,Antonio Gibson,WAS,RB,22,6,4,0,0,0,0,0,64,243,3.8,3,22,19,147,7.74,0,1,1,3,,,55,74,81,64.5,,26,
98,Melvin Gordon,DEN,RB,27,4,4,0,0,0,0,0,65,281,4.32,3,15,11,45,4.09,1,1,1,4,,,55,65.6,69.6,60.1,,27,
99,Sam Darnold,NYJ,QB,23,4,4,82,138,792,3,4,14,117,8.36,1,0,0,0,,0,0,0,1,,,53,53.4,63.4,57.4,,30,
100,Dwayne Haskins,WAS,QB,23,4,4,89,146,939,4,3,13,30,2.31,1,0,0,0,,0,4,2,1,,,53,52.6,60.6,55.6,,31,
101,D'Andre Swift,DET,RB,21,5,0,0,0,0,0,0,26,158,6.08,3,20,16,131,8.19,1,0,0,4,,,53,68.9,74.9,60.9,,28,
102,Mitchell Trubisky,CHI,QB,26,3,3,51,86,560,6,3,8,87,10.88,0,0,0,0,,0,1,0,0,,,49,49.1,55.1,52.1,,32,
103,Devin Singletary,BUF,RB,23,6,6,0,0,0,0,0,71,270,3.8,1,24,18,135,7.5,0,0,0,1,,,47,64.5,70.5,55.5,,29,
104,Keenan Allen,LAC,WR,28,5,5,0,0,0,0,0,0,0,,0,50,34,356,10.47,2,2,1,2,,,46,79.6,83.6,62.6,,31,
105,Travis Fulgham,PHI,WR,25,3,3,0,0,0,0,0,0,0,,0,26,18,284,15.78,3,0,0,3,,,46,64.4,67.4,55.4,,30,
